Distance (s),Height (h)
10638.74559705886,1316.9818664410304
10754.384136157327,1325.6270852179491
10870.022675255792,1334.7285117796869
10985.661214354257,1344.292296731384
11101.299753452722,1354.3451409182992
11216.938292551187,1364.916562151601
11332.576831649654,1376.05452919656
11448.21537074812,1387.8335294497147
11563.853909846586,1400.3119708912711
11679.492448945051,1413.4851304965168
11795.130988043518,1427.3320340923544
11910.769527141983,1441.7929537999817
12026.40806624045,1456.7581865353618
12142.046605338915,1472.1208424808763
12257.685144437382,1487.7344174364107
12373.323683535848,1503.4419251030247
12488.962222634314,1519.0950671796882
12604.60076173278,1534.5361776684504
12720.239300831247,1549.5769380207958
12835.877839929712,1564.013034810338
12951.516379028177,1577.6344395018396
13067.154918126642,1590.2417953626834
13182.793457225107,1601.7126090643162
13298.431996323574,1611.9706245526959
13414.070535422039,1620.969146424847
13529.709074520506,1628.7179222348013
13645.347613618971,1635.2684557761681
13760.986152717438,1640.7519196830606
13876.624691815903,1645.387270211311
13992.26323091437,1649.4289882714972
14107.901770012835,1653.1481913920911
14223.540309111302,1656.8381085934984
14339.178848209767,1660.8058932922274
14454.817387308234,1665.361027902305
14570.4559264067,1670.7684079345938
14686.094465505166,1677.1998096742143
14801.733004603631,1684.7055021019244
14917.371543702096,1693.1831401364027
15033.010082800562,1702.466662849607
15148.648621899027,1712.3900411185482
15264.287160997494,1722.8012458526284
15379.92570009596,1733.6258314947893
15495.564239194424,1744.9286207323398
15611.20277829289,1756.8466329467035
15726.841317391358,1769.5625033722795
15842.479856489825,1783.310664336385
15958.118395588288,1798.182842403929
16073.756934686755,1814.1620348475233
16189.395473785222,1831.168102561643
16305.034012883689,1848.9664863945204
16420.672551982152,1867.2308508113035
16536.311091080617,1885.604731778278
16651.949630179086,1903.7464182292122
16767.588169277547,1921.3974217177729
16883.226708376016,1938.4533218557767
16998.86524747448,1954.9328601439215
17114.50378657295,1970.9638096279443
17230.14232567141,1986.7407919831799
17345.78086476988,2002.4572847040256
17461.419403868345,2018.3019454624618
17577.057942966814,2034.422085368681
17692.696482065276,2050.876402242117
17808.335021163744,2067.570871851342
17923.97356026221,2084.300439968005
18039.612099360675,2100.8047844827897
18155.25063845914,2116.7941979713087
18270.889177557605,2131.941905761445
18386.527716656074,2145.927835719231
18502.16625575454,2158.4553961127285
18617.804794853004,2169.2554329156046
18733.44333395147,2178.167131588878
18849.081873049938,2185.1325601804756
18964.7204121484,2190.169831189946
19080.358951246868,2193.3569209578004
19195.997490345333,2194.8153801010594
19311.6360294438,2194.706069300932
19427.274568542263,2193.2274444143445
19542.913107640732,2190.5924328213305
19658.551646739197,2187.0114709065024
19774.190185837666,2182.681218639637
19889.828724936127,2177.791602149281
20005.467264034596,2172.532711855979
20121.10580313306,2167.0750851638204
20236.744342231526,2161.5470639434348
20352.38288132999,2156.039663779229
20468.021420428457,2150.611734294173
20583.659959526925,2145.260154559017
20699.298498625387,2139.9179134745314
20814.937037723856,2134.438310360798
20930.57557682232,2128.529603568024
21046.21411592079,2121.844543142407
21161.85265501925,2113.976026787273
21277.49119411772,2104.443443980348
21393.129733216185,2092.7369168917107
21508.768272314654,2078.284408323178
21624.406811413115,2060.518631480808
21740.045350511584,2038.9295724166109
21855.68388961005,2013.115589041958
21971.322428708514,1982.7941347244462
22086.96096780698,1947.841239902872
22202.599506905444,1908.2696855300758
22318.238046003913,1864.2386153373068
22433.876585102375,1816.1166112182814
22549.515124200843,1764.4363293084357
22665.15366329931,1709.813608006992
22780.792202397777,1652.8803581213917
22896.43074149624,1594.280700046507
23012.069280594707,1534.6278458990657
23127.707819693172,1474.4497581869853
23243.34635879164,1414.2015020689864
23358.984897890103,1354.252341912263
23474.62343698857,1294.8567613260714
23590.261976087037,1236.1871127485883
23705.900515185505,1178.410894431543
23821.539054283967,1121.6657110170445
23937.177593382436,1066.08774103751
24052.8161324809,1011.8602931492611
24168.454671579362,959.1718593883882
24284.09321067783,908.2604735966053
24399.731749776296,859.3892915581794
24515.370288874765,812.8171562199408
24631.008827973226,768.7974634061845
24746.647367071695,727.6208016382609
24862.28590617016,689.5668287218065
24977.92444526863,654.8677632041506
25093.56298436709,623.7350303769872
25209.20152346556,596.2173141577925
25324.840062564024,572.2042479026629
25440.478601662493,551.4844217441379
25556.117140760954,533.6741972464687
25671.755679859423,518.2770721193366
25787.39421895789,504.7025169357267
25903.032758056353,492.29212674806706
26018.67129715482,480.3938592908517
26134.309836253284,468.46197401562125
26249.948375351752,456.0870752777002
26365.586914450214,442.9931784714191
26481.225453548683,429.1055638109927
26596.863992647148,414.4873174026247
26712.502531745617,399.33272494171086
26828.141070844078,383.9343731056197
26943.779609942547,368.5976323842463
27059.418149041012,353.53137641500746
27175.05668813948,338.817131963886
27290.695227237942,324.4526403723173
27406.33376633641,310.31290572998165
27521.972305434876,296.2282156951889
27637.610844533345,282.07835125538435
27753.249383631806,267.7923566592836
27868.887922730275,253.33095095938035
27984.52646182874,238.76420235331105
28100.165000927205,224.22045790284702
28215.80354002567,209.78092167625317
28331.442079124135,195.52506797951253
28447.080618222604,181.500782060028
28562.719157321066,167.69923050574573
28678.357696419534,154.09347453527295
28793.996235518,140.62562255088125
28909.63477461647,127.16740493793246
29025.27331371493,113.5690455504066
29140.9118528134,99.68319466042843
29256.550391911864,85.241136689721
29372.188931010332,70.00212605195986
29487.827470108794,53.67483414656218
29603.466009207263,35.90178903285726
29719.104548305728,16.404064157360153
29834.743087404193,-5.023269191155118
29950.381626502658,-28.50650285584655
30066.020165601123,-54.111500329541215
30181.65870469959,-81.71938309412212
30297.297243798053,-111.23236513094832
30412.935782896522,-142.56518708782272
30528.574321994987,-175.5049607224481
30644.212861093456,-209.78794861795768
30759.85140019192,-245.2942800617974
30875.48993929039,-281.8956798409692
30991.128478388848,-319.2769822919801
31106.767017487316,-357.26230418151124
31222.40555658578,-395.70691185435993
31338.04409568425,-434.3927254099373
31453.682634782715,-473.1636397048268
31569.321173881184,-511.9397129024176
31684.95971297965,-550.7266530790168
31800.59825207811,-589.5291266681639
31916.236791176576,-628.372300400659
32031.875330275045,-667.334057476735
32147.51386937351,-706.5059252819627
32263.152408471975,-745.9470966726902
32378.790947570444,-785.6816869384414
32494.42948666891,-825.753366419018
32610.068025767378,-866.1838998981982
32725.706564865835,-906.9584922411095
32841.345103964304,-948.06625267456
32956.98364306277,-989.501682487936
33072.622182161234,-1031.2676046744982
33188.26072125971,-1073.3841460825524
33303.89926035817,-1115.9062286401895
33419.53779945664,-1158.8966752850222
33535.176338555095,-1202.4368254746958
33650.81487765357,-1246.6166756079047
33766.45341675203,-1291.4959734276863
33882.0919558505,-1337.1009549711875
33997.73049494896,-1383.4094332440918
34113.36903404743,-1430.2905423178452
34229.0075731459,-1477.4285934219056
34344.646112244365,-1524.4450259395514
34460.28465134282,-1570.775554310599
34575.92319044129,-1615.6888877510087
34691.56172953976,-1658.4561678208004
34807.200268638226,-1698.3835011462081
34922.83880773669,-1734.8273056293929
35038.477346835156,-1767.3500752693876
35154.11588593363,-1795.956620615479
35269.754425032086,-1820.7727265740525
